Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Curazao|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Nigeria|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Panamá|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Atunes frescos, congelados o refrigerados|0.49145627|0.2360054|0.33259705|0.44013393|0.25883922|0.52243167|0.37326151|0.42600369|0.38709322|0.35264122|0.45068592|0.5764963|0.42635116|0.46056861|0.56529921|0.47508538|0.56750607|0.33634067|0.56171548|0.3812592|0.69485617|0.57543945|0.40712601|0.0|0.35408905|0.56355488|0.36539197|0.59711659|0.54141617|0.50305587|0.42565882|0.61600459|0.51418018|0.11881781|0.54713255|0.40416718|0.53998327|0.52117014|0.24438837|0.62691146|0.50498825|0.82987225|0.68980324|0.40816152|0.25972873|0.19805646|0.53026962|0.39646554|0.27281168|0.49850363|0.28418255|0.59331954|0.49276105|0.57211733|0.40295237|1.0|0.78564799|0.50277185|0.74405706|0.20222399|0.78621811|0.42949677|0.49988073|0.49719286|0.42154318|0.3596918|0.37848064|0.56750053|0.51570666|0.17296721|1.0|0.046351027|0.4522303|1.0|0.46497247|0.52087659|0.50152296|0.18679735|0.38966897|0.30851927|0.49702111|0.39147431|0.47474545|0.24972805|0.46144873|0.69568938|0.50454295|0.26213455|0.39152431|0.79970533|0.15509537|0.76708144|0.55159533|0.55163378|0.44236243|0.51205659|0.49316204|0.52877283|0.59012926|0.507967|0.5091396|0.54349279|0.48472923|0.61270231|0.42917937|0.29572999|0.1543946|0.45754334|0.16024461|0.55630559|0.51803958|0.5295164|0.30590051|0.53171551|0.50923586|0.54629564|0.4918358|0.4061622|0.64871162|0.0|0.47134176|0.2814014|0.35940444|0.46552414|0.44137955|0.46160683|0.59721965|0.52570468|0.48514095|1.0|0.58899528|0.76211476|0.35411769|0.35873774|0.34232196|0.45872349|0.44270098|0.47386283|0.66777098|0.42157233|0.49068457|0.46398902|0.16758454|0.50045764|0.44780511|0.41036049|0.52891767|0.093699843|0.55490953|0.037145413|0.52274251|0.42545223|0.51279837|0.26286972|0.46244818|0.46750259|0.098571301|0.4629834|0.41533595|0.10684907|0.47009397|0.28580716|0.45511895|0.66193515|0.49906531|1.0|0.60054654|0.21212447|0.35201031|0.34452984|0.41141164|0.3547979|0.55030358|0.45916772|0.27812335|0.57129717|0.75413013|0.014285812|0.68882352|0.0|0.52014738|0.19938971|0.67416406
Automóviles de turismo y uso familiar|0.67579347|1.0|0.65494311|0.80545115|0.72249889|0.91708863|0.83067918|0.58374798|0.68068886|0.78543067|0.73014736|0.7682941|0.89059085|0.88668334|0.92185557|0.92864406|0.88980627|0.72769463|0.80917859|0.77817035|0.84483618|0.8220259|0.79594529|0.78154457|0.92267811|0.90905797|0.38006473|0.59711659|0.54141617|0.38711387|0.56947875|0.72803485|0.92631483|0.16265336|0.13441265|0.12148921|0.58701235|0.18690725|0.57471442|0.58510333|0.50498825|0.98253983|0.55471635|0.6085943|0.53132558|0.64696026|0.53026962|0.38778591|0.64673865|0.82719004|0.33362305|0.75981438|0.63088989|0.5383724|0.65778983|1.0|0.12713172|0.50277185|0.60243022|0.55373991|0.52649254|0.67822212|0.17236792|0.68072194|0.4347811|0.54669744|0.22768094|0.44754541|0.63425523|0.6911549|0.77768993|0.22477347|0.4522303|1.0|0.61628377|0.40341324|0.39397436|0.21944714|0.6754328|0.44303915|0.59804839|0.021446927|0.12074018|0.24972805|0.3524625|0.21530947|0.50454295|0.26213455|0.600182|0.47072572|0.40835285|0.4518801|0.50490129|0.4439581|0.51793164|0.44783381|0.67702842|0.69529462|0.43233818|0.72515583|0.38818783|0.29900429|0.48472923|0.61270231|0.67063022|0.29572999|0.33372825|0.62688804|0.22137246|0.85198152|0.40458098|0.75589228|0.53300291|0.42870504|0.63193816|0.59320611|0.33318603|0.5154562|0.26898852|0.10483462|0.77794605|0.62805021|0.44438332|0.36229795|0.64176899|0.23872678|0.46333525|0.43682337|0.065180711|0.80706346|0.52090168|0.63457906|0.18572672|0.65334201|0.50006425|0.77329105|0.67840505|0.65475309|0.47197604|0.1205925|0.17141068|0.22416078|0.25919199|0.57937032|0.65047997|0.71702158|0.20758118|0.40546545|0.48496711|0.51351035|0.41109365|0.42545223|0.07968545|0.34032345|0.44109556|0.36594847|0.37306425|0.73508859|0.51472968|0.53015518|0.58285463|0.26613256|0.55552107|0.57527667|0.38687539|1.0|0.60054654|0.46932447|0.35201031|0.34224942|0.75101924|0.61151677|0.38304842|0.36180657|0.61412883|0.55769068|0.59765601|0.19983725|0.19631141|0.14570186|0.30950823|0.52057922|0.52877843
Azúcar de caña|0.88897401|0.65908653|0.78471935|0.23804873|0.65466249|0.48454052|0.81710672|0.43084407|0.83563614|0.090902895|0.64607716|0.78985441|0.54349065|0.27235088|0.77009857|0.83817363|0.81382775|0.6683104|0.86278665|0.35069919|0.71999848|0.46462989|0.36313191|0.22139585|0.67117286|0.67846495|0.072086051|0.59711659|1.0|0.41134083|0.07090275|0.65762383|0.64163315|0.98157591|0.54713255|0.12148921|0.79440123|0.18690725|1.0|0.63620466|0.2322388|0.94145012|0.51517975|0.76916397|0.45911831|1.0|1.0|0.60298026|0.90009797|0.83370554|0.87019038|0.80668384|0.4198356|0.35922813|0.79851061|1.0|0.27269971|0.77393264|0.78821182|0.74936241|0.80836982|0.61073965|0.75128198|0.25472018|0.41063362|0.86226547|0.11292617|0.47253814|0.81250727|0.89800411|1.0|1.0|0.7116878|1.0|1.0|0.78730881|0.41434395|0.94000292|1.0|0.10814816|0.24890557|0.31022537|0.48604584|0.24972805|0.75170833|0.53415143|0.40770835|0.26213455|0.80598617|0.83171058|1.0|0.70193458|0.4942475|0.37164304|0.16798933|0.39452574|0.87584513|0.52877283|0.35530928|0.81908977|0.41362894|0.54349279|0.87830901|0.32300356|0.80467248|0.29572999|0.89451468|0.45754334|0.57214797|0.26145887|0.4274309|0.72863567|0.079887941|0.87440991|0.73004174|0.050110187|0.4918358|0.98897409|1.0|0.46549153|0.52099705|0.37668556|0.01513692|0.38309875|0.62487394|0.6836797|0.49153173|0.86903882|0.54005349|1.0|0.58899528|0.42122081|0.1398751|0.7838577|0.8019762|0.78342104|0.58021224|0.47907531|0.72917819|0.1205925|0.83961868|0.31169078|0.80287755|0.39211094|0.70271999|0.76750922|1.0|0.81656629|0.34791708|0.51351035|0.43618274|0.77921593|0.56012845|0.033499181|0.43860865|0.64934021|0.41158804|0.62573701|0.59509015|1.0|0.25946349|0.4149006|0.12301052|0.66193515|0.40904599|1.0|0.47156966|1.0|0.35201031|0.73747683|0.19679879|0.6199919|0.62592489|0.31745878|0.066622384|0.55265039|0.86955285|0.53271675|0.19322012|0.54902786|0.48371765|0.39628175|0.57621515
Banano|0.37531698|0.3970221|0.7902984|0.1317901|0.066920586|0.17938542|0.026924504|0.49605858|0.65729171|0.49408221|0.28884688|0.23943241|0.057224259|0.15417007|0.34464779|0.25464541|0.11717081|0.10745672|0.14159761|0.047094733|0.10297031|0.13917285|0.27838466|0.0|0.31663254|0.26861525|0.054317877|0.098727413|0.91372681|0.050721083|0.056408934|0.076935962|0.73352867|0.1985895|0.23113385|0.12148921|0.50597262|0.18690725|0.16952881|0.56832361|0.065731004|0.18406752|0.13908896|0.72376114|0.17524278|0.044607945|0.79825693|0.13710159|0.7923125|0.83996612|0.047056179|0.15918523|0.076743834|0.13293189|0.70390433|1.0|0.63545597|1.0|0.80542636|0.66709048|0.090264216|0.15619226|0.086652577|0.6135121|0.071306452|0.90641654|0.11292617|0.060876284|0.077880383|0.061152481|0.29373696|0.0|0.76985776|1.0|0.074800879|0.049310364|0.049411859|0.037924346|0.052827392|0.05941277|0.079525679|0.097729683|0.15046155|0.24972805|0.71817529|0.23066479|0.06937281|0.26213455|0.52713215|0.96786273|0.032707669|0.47836292|0.068886153|0.063250691|0.065788478|0.073016278|0.76928282|0.068234578|0.10094893|0.60327923|0.048058506|0.58934778|0.63441128|0.1204183|0.030191254|0.29572999|0.1543946|0.073808365|0.07264588|0.78361869|0.060311168|0.62958223|0.079887941|0.061552308|0.12908435|0.08808957|0.07604941|1.0|0.033899702|0.0|0.092394628|0.081209868|0.048019439|0.048902959|0.54654974|0.10051163|0.061657771|0.084163174|0.10312053|0.34485209|0.059881747|0.11292559|0.081365012|0.82271516|0.088748544|0.94774556|0.95140564|0.61814302|0.8918829|0.1205925|0.55405676|0.27897084|0.029031541|0.065277256|0.74626303|0.78291798|0.044019762|0.056170195|0.13941866|0.048684426|0.050879065|0.54830366|0.075899474|0.044877402|0.10109052|0.072475702|0.098571301|0.84350705|1.0|0.039623599|0.062670521|0.083170742|0.058397926|0.12196141|0.048999831|1.0|0.42051917|0.061822299|0.35201031|0.84922624|0.5388006|0.75231421|1.0|0.060237288|0.087114781|0.075439781|0.19561756|0.071860626|0.10557792|0.0|0.50585681|0.051167056|0.088779226
Barcos y sus partes|0.29201582|0.2870189|0.45046085|0.41241163|0.45199507|0.85178208|0.8024649|0.22597013|0.49770522|0.43674892|0.80488813|0.40739173|0.46983761|0.25892764|0.70818585|0.79754567|0.54244041|0.49189979|0.22159657|0.49066001|0.37971324|0.85360003|0.21324465|0.2275764|0.18419525|0.20959879|0.63672853|0.16594106|0.076166406|0.40518466|0.46183777|0.32268912|0.42970791|0.27501675|0.22277643|0.80083084|0.56800157|0.50561243|0.14773794|0.11904286|0.28712308|0.59047264|0.44531807|0.11348401|0.59136128|0.37271917|0.20029417|0.40892664|0.61226565|0.17803976|0.15303312|0.25748461|0.14011352|0.40662605|0.61450315|1.0|0.33925223|0.66348988|0.1706634|0.3061415|0.33227804|0.45267135|0.2732636|0.17227401|0.12421991|0.45329553|0.42145294|0.4679637|0.15541691|0.40097249|0.36049423|0.82752734|0.19644673|1.0|0.29961991|0.4227491|0.40809345|0.50637817|0.56568313|0.45908582|0.31626537|0.58859444|0.35208115|0.24972805|0.19475175|0.41945907|0.30592528|0.26213455|0.21396929|0.17356768|0.66422319|0.38218027|0.14388546|0.23456499|0.33818167|0.25190723|0.26713395|0.24624039|0.35030714|0.3012737|0.40853399|0.15179454|0.72395837|0.38039148|0.14464815|0.29572999|0.43713176|0.1787802|0.25883681|0.32229525|0.42328784|0.41758522|0.30826634|0.36743101|0.18315351|0.19126065|0.13405703|0.41390657|0.34715396|0.40591145|0.30677155|0.39124843|0.69067472|0.37901008|0.18404797|0.12112749|0.4867484|0.25934112|0.23949915|0.39972928|0.1389305|0.7809732|0.40742165|0.42024505|0.5638327|0.17820248|0.19340184|0.26152027|0.53982353|0.40606833|0.30990893|0.33882529|0.35449833|0.31420338|0.16400829|0.20086887|0.18187505|0.4242152|0.5104543|0.13350777|0.43202454|0.039229117|0.12953766|1.0|0.18175399|0.17498961|0.43924409|0.19392854|0.22880504|0.21439356|0.072729714|0.089773819|0.33202809|0.17837512|0.40504003|1.0|0.39755446|0.51420629|0.35201031|0.17644218|0.65266335|0.44301081|0.1726326|0.29713333|0.12547284|0.14583957|0.45364827|0.16168968|0.14295188|0.23032165|0.29544517|0.50551623|0.20020047
Bebidas alcohólicas|0.6735462|0.72811556|0.41556466|0.76810443|0.55521202|0.69793034|0.77324826|0.025822178|0.40092701|0.51423991|0.62598562|0.85644382|0.81129897|0.85071027|0.58628488|0.77244407|0.48603082|0.59155291|0.73400939|0.85236764|0.72545207|0.91887271|0.74936736|0.52370119|0.8067888|0.8439368|0.66284907|0.46379143|0.34139574|0.25941586|0.23017593|0.53174019|0.87598836|0.069789328|0.083255053|0.24823029|0.46138704|0.334135|0.58768463|0.64054465|0.39492047|0.6320287|0.22715929|0.5122565|0.41792122|0.24155568|0.42486453|0.64514923|0.47142103|0.66231358|0.19797711|0.54325134|0.029298749|0.15381378|0.046855934|1.0|0.43846598|0.3987098|0.73047209|0.51080966|0.4270919|0.086787105|0.36500916|0.27596039|0.10665143|0.7365483|0.23949279|0.29833159|0.34531796|0.26265678|0.72667235|0.040266141|0.2774826|1.0|0.41398609|0.26613113|0.25644925|0.012278024|0.077031098|0.51472378|0.32455423|0.11490551|0.099026561|0.24972805|0.22034864|0.51884955|0.39435476|0.26213455|0.51710922|0.59822011|0.35467693|0.64158934|0.12801209|0.21723059|0.31554806|0.23221934|0.030153047|0.68920183|0.39213482|0.7833901|0.26099408|0.018882276|0.38571149|0.8643803|0.30345613|0.29572999|0.1543946|0.27361858|0.25338426|0.43920642|0.27095774|0.30377328|0.2261059|0.28594688|0.36515892|0.10397831|0.10761359|0.061201598|0.11362797|0.11740572|0.10746793|0.21991235|0.13661307|0.24037042|0.34801722|0.57184857|0.30825487|0.26466388|0.0|0.56624401|0.40809882|0.59563208|0.17030486|0.45658258|0.45086873|0.24799541|0.72106719|0.028359264|0.4998771|0.24855717|0.76073265|0.18151034|0.4051913|0.3687585|0.35096252|0.52044386|0.18433453|0.27050236|0.064527035|0.19003221|0.26960555|0.55204815|0.2233139|0.012672626|0.1692304|0.54872793|0.098571301|0.23810259|0.58953691|0.017285034|0.1822926|0.37326258|0.29684457|0.2390911|0.25536311|1.0|0.52031928|0.049012929|0.35201031|0.31552863|0.23043236|0.12292846|0.32114846|0.35948879|0.21265379|0.35420686|0.28971174|0.48995942|0.18228725|0.026905984|0.12725754|0.1883328|0.19438197
Bebidas no alcohólicas|0.48010716|0.5251044|0.57857126|0.62033564|0.14752634|0.94651747|0.7000109|0.1593996|0.33154309|0.26620984|0.49983937|0.77203453|0.61501229|0.48062024|0.51205373|0.73979247|0.4911136|0.23892316|0.61706072|0.45990613|0.52489913|0.78717083|0.52874303|0.54283172|0.62213516|0.7048142|0.28618911|0.27263737|0.2350063|0.16402158|0.1235567|0.48734581|0.74235141|0.080043741|0.071345724|0.22160035|0.65433311|0.18690725|0.73748386|0.11275133|0.19946457|0.74135005|0.28079179|0.078617781|0.46320644|0.15729019|0.2278271|0.93024528|0.77856553|0.2257904|0.040657811|0.73775744|0.20844509|0.15055524|0.27579415|1.0|0.23419619|0.21792156|0.68743235|0.46068734|0.67759585|0.13238925|0.19339095|0.22381529|0.20739098|0.64594734|0.11292617|0.79869139|0.23648638|0.17077012|0.50707817|0.11213245|0.19155359|1.0|0.37787497|0.16826259|0.16293171|0.45961189|0.12097603|0.48708436|0.11926858|0.1902023|0.19484738|0.24972805|0.63616252|0.20301849|0.2194131|0.77125412|0.47102565|0.60178643|0.1257319|0.48531806|0.21419713|0.17799124|0.17045306|0.17753038|0.15786521|0.27897578|0.20547588|0.19756415|0.16418153|0.76133585|0.082378879|0.27469105|0.068100668|0.29572999|0.1543946|0.19533437|0.18657731|0.22214654|0.17537187|0.24202132|0.20986748|0.18698099|0.28000537|0.19869748|0.21665886|0.078027576|0.19802222|0.80890274|0.22742534|0.41856444|0.15478|0.16238236|0.085651003|0.6247915|0.20107715|0.18421926|0.19839825|0.49994156|0.22007805|0.5807249|0.72876292|0.55165225|0.26375583|0.53995186|0.51991719|0.16578698|0.51395452|0.1205925|0.2313903|0.15713026|0.29029197|0.18271863|0.18886501|0.61813664|0.15574586|0.17149612|0.13264358|0.17718652|0.1706185|0.15304726|0.18948163|0.10290034|0.14232028|0.049250267|0.098571301|0.20017019|0.50247163|0.48149937|0.52942044|0.13869119|0.14457902|0.27202499|0.1628807|1.0|0.4781495|0.62482309|0.35201031|0.12451359|0.49280238|0.1183586|0.24539855|0.16903347|0.14832321|0.22785063|0.32297468|0.5698694|0.08921203|0.22777966|0.12725754|0.16725925|0.22641715
Betunes, abrillantadores y preparaciones similares|0.47716531|0.53135765|0.25505626|0.30827239|0.46056348|0.1244486|0.52689517|0.37546754|0.20351259|0.59139353|0.50954014|0.46181521|0.3059015|0.48321694|0.51685369|0.25743335|0.4705596|0.55510157|0.50340998|0.53430426|0.36500043|0.47752586|0.41790617|0.46427983|0.55017531|0.55349779|0.5340625|0.49008545|0.54141617|0.25941586|0.28227401|0.58447278|0.36484176|0.49164283|0.54713255|0.12148921|0.25098246|0.18690725|0.74765515|0.34261456|0.50498825|0.42892134|0.34073976|0.31476548|0.69498289|0.24155568|0.53026962|0.49025044|0.33496249|0.49850363|0.36469045|0.58071244|0.38219941|0.45182776|0.33412594|1.0|0.52622259|0.50277185|0.59015363|0.24650212|0.52649254|0.21740966|0.42767891|0.41567516|0.44670102|0.29468641|0.11292617|0.29833159|0.44625551|0.26265678|0.91480964|0.26002243|0.4522303|1.0|0.33276594|0.26613113|0.25644925|0.29618067|0.10900804|0.25673163|0.49702111|0.43430603|0.44748056|0.24972805|0.46144873|0.23802087|0.50454295|0.26213455|0.33074021|0.29054725|0.55218577|0.34310794|0.51720488|0.47296065|0.36752424|0.52148968|0.40905958|0.52877283|0.47129381|0.507967|0.26099408|0.41527212|0.48472923|0.61270231|0.42917937|0.29572999|0.1543946|0.34667003|0.57214797|0.55630559|0.27095774|0.39609483|0.37818822|0.28594688|0.63193816|0.50632596|0.4918358|0.60043883|0.43771434|0.0|0.41664231|0.63301742|0.41141742|0.24037042|0.44137955|0.27603388|0.30825487|0.43682337|0.50785482|0.89781153|0.58899528|0.44748193|0.54948765|0.29890954|0.68988448|0.38618189|0.44270098|0.30325893|0.26777455|0.1205925|0.49068457|0.070543379|0.51536644|0.43590897|0.35605115|0.41466099|0.28547892|0.27050236|0.43834633|0.51351035|0.26960555|0.35294318|0.51279837|0.26286972|0.48509094|0.38179386|0.098571301|0.35960159|0.31989908|0.61778378|0.45674521|0.45718449|0.35566723|0.61888641|0.25536311|1.0|0.27223811|0.28239909|0.35201031|0.44060647|0.59214222|0.39081877|0.47126746|0.42023358|0.54054374|0.48085451|0.75413013|0.5420056|0.4043768|0.34438968|0.12725754|0.39628175|0.5599249
Bicicletas|0.43919078|0.16438004|0.31961673|0.44652873|0.33668107|0.7987693|0.47342041|0.37546754|0.39611655|0.38674912|0.38984865|0.40255541|0.34040952|0.57271498|0.44288242|0.44771749|0.40851647|0.49697483|0.45244455|0.46694571|0.47033972|0.50561309|0.42879012|0.42691177|0.47154748|0.39020196|0.32263213|0.59711659|0.44861758|0.45182741|0.59451002|0.57641417|0.58555651|0.45325834|0.2836757|0.0|0.36712018|0.18690725|0.58992541|0.56600261|0.50498825|0.59773433|0.63439697|0.62583447|0.21832705|0.41354892|0.53026962|0.33339|0.42108783|0.49850363|0.41542977|0.29186627|0.40080959|0.27795231|0.33412594|1.0|0.52622259|0.50277185|0.21788335|0.3379758|0.52649254|0.42949677|0.28509113|0.49719286|0.57373375|0.27252647|0.11292617|0.51424873|0.51570666|0.43670556|1.0|0.36593238|0.3469246|1.0|0.38607919|0.47055519|0.45358717|0.44081718|0.33763826|0.30851927|0.49702111|0.42533296|0.28555968|0.24972805|0.46144873|0.29586869|0.50454295|0.26213455|0.58332664|0.28450274|0.29146618|0.3667832|0.44611174|0.41059631|0.53610808|0.45968992|0.40905958|0.52877283|0.51986277|0.507967|0.45979667|0.41527212|0.35491899|0.61270231|0.42917937|0.29572999|0.35302427|0.43057024|0.57214797|0.55630559|0.46508351|0.44651571|0.53300291|0.47755486|0.63193816|0.53639746|0.4918358|0.52407098|0.4795312|0.22823802|0.6353569|0.41544521|0.20835952|0.41421407|0.64416903|0.3793264|0.53738523|0.43682337|0.25428879|0.89781153|0.58899528|0.43714494|0.78917277|0.2815429|0.24168828|0.36166918|0.30019975|0.39452255|0.27999905|0.1205925|0.40321574|0.070543379|0.20235775|0.59728074|0.44780511|0.36005646|0.38575232|0.46612373|0.3091391|0.51351035|0.46964222|0.34385028|0.42275083|0.49376941|0.35316122|0.41581649|0.55427903|0.4046841|0.7539863|0.32793501|0.3307777|0.22598125|0.56989479|0.55456394|0.44758201|1.0|0.60054654|0.30755979|0.35201031|0.3034991|1.0|0.58048344|0.3755607|0.53123277|0.77681851|0.41242689|1.0|0.19276321|0.18464325|0.54902786|0.12725754|0.39628175|0.5599249
Bisutería|0.56386632|0.11407316|0.65256548|0.3130233|0.24026817|0.73446643|0.26987499|0.57066268|0.24149182|0.48028684|0.36091968|0.470456|0.25542748|0.51079226|0.3166393|0.51475775|0.42122942|0.44401485|0.16592166|0.35764712|0.28987014|0.41886672|0.18561162|0.59682107|0.33673111|0.29173243|0.26980141|0.59711659|0.54141617|0.25941586|0.42565882|0.30136362|0.37074172|0.086156152|0.57957017|0.12148921|0.44612557|0.18690725|0.84802884|0.43515369|0.74833709|0.34236968|0.34073976|0.28620407|0.70519841|0.24155568|0.53026962|0.57061613|0.60237241|0.49850363|0.28141326|0.60440505|0.3005631|0.55938536|0.74865913|1.0|0.52622259|0.40899211|0.72660136|0.48862612|0.52649254|0.086787105|0.38356921|0.49719286|0.49539268|0.68916953|0.11292617|0.29833159|0.42195898|0.26265678|0.95273852|0.056911603|0.79100859|1.0|0.70818472|0.26613113|0.25644925|0.062927291|0.43563014|0.42914155|0.49702111|0.28883862|0.38845682|0.24972805|0.46144873|0.59635234|0.50454295|0.26213455|0.32221949|0.56259668|0.24309447|0.55247855|0.39983428|0.45609546|0.44236243|0.37983137|0.69273436|0.66226721|0.40152919|0.507967|0.26099408|0.41527212|0.40545556|1.0|0.63178766|0.73760027|0.1543946|0.38796875|0.43795174|0.55630559|0.10147911|0.76837492|0.53300291|0.28594688|0.63193816|0.4432891|0.4918358|0.52407098|0.18897277|0.0|0.4658289|0.82628965|0.48140261|0.24037042|0.65017116|0.31065068|0.30825487|0.43682337|0.4461512|0.89781153|0.44451255|0.56916392|0.49926305|0.5239473|0.86940026|0.38618189|0.39169148|0.63064075|0.64957476|0.014181584|0.43857482|0.24816553|0.54786456|0.50045764|0.57428825|0.46590036|0.28547892|0.27050236|0.43834633|0.51351035|0.26960555|0.33800641|0.331945|0.26286972|0.573282|0.34545153|0.098571301|0.4629834|0.52402407|0.071741447|0.59951526|0.45446426|0.45511895|0.55456394|0.25536311|1.0|0.0|0.42756343|0.35201031|0.64785182|0.59214222|0.39081877|0.68408954|0.45916772|0.31031442|0.45586497|0.62958014|0.25347364|0.26096416|0.54902786|0.12725754|0.39628175|0.53201878
Bordados|0.49708074|0.15123557|0.33259705|0.14666753|0.31883013|0.1244486|0.25079268|0.37546754|0.35480422|0.26370329|0.33740586|0.37055859|0.15685934|0.26123747|0.20857413|0.23769902|0.26100945|0.51106256|0.208628|0.37028378|0.30152601|0.22389352|0.25351644|0.10770066|0.41840422|0.34419507|0.3035315|0.59711659|0.54141617|0.25941586|0.42565882|0.17481571|0.32456934|0.086156152|0.54713255|0.12148921|0.30690384|0.18690725|0.36930397|0.25362384|0.50498825|0.091795102|0.34073976|0.30527985|0.25972873|0.24155568|0.53026962|0.17889389|0.21568373|0.49850363|0.48791677|0.23326226|0.43928015|0.20773146|0.33412594|1.0|0.52622259|0.50277185|0.26976037|0.25799888|0.52649254|0.21740966|0.42767891|0.49719286|0.49539268|0.30773032|0.11292617|0.29833159|0.51570666|0.26265678|0.91480964|0.50034052|0.35904178|1.0|0.17492679|0.26613113|0.25644925|0.41095799|0.36333445|0.30851927|0.49702111|0.40387809|0.41031253|0.24972805|0.46144873|0.15599278|0.50454295|0.26213455|0.39152431|0.5527519|0.37769765|0.40726471|0.44611174|0.42962623|0.44236243|0.4738656|0.40905958|0.52877283|0.48841304|0.507967|0.26099408|0.41527212|0.48472923|0.61270231|0.36395139|0.29572999|0.41768414|0.37455463|0.57214797|0.55630559|0.27095774|0.5295164|0.53300291|0.28594688|0.63193816|0.4432891|0.4918358|0.56426591|0.36124563|0.0|0.22989208|0.58788025|0.2706961|0.24037042|0.44137955|0.46160683|0.30825487|0.43682337|0.4375039|0.89781153|0.50254464|0.32212162|0.35411769|0.32499057|0.033325657|0.45872349|0.44270098|0.39452255|0.31133592|0.1205925|0.49068457|0.46398902|0.27530676|0.50045764|0.44780511|0.38490653|0.49991459|0.27050236|0.3091391|0.51351035|0.26960555|0.42545223|0.51279837|0.26286972|0.573282|0.39243156|0.098571301|0.4629834|0.32926112|0.4184328|0.32210809|0.33280888|0.45511895|0.50654018|0.25536311|1.0|0.27223811|0.36623809|0.35201031|0.35475141|0.32805681|0.39081877|0.44947237|0.36401948|0.36973649|0.52059627|0.94694602|0.18699896|0.45222878|0.54902786|0.12725754|0.39628175|0.62233222
