|Posición|Descripcion|conc
5243|840890|"Motores de émbolo """"pistón"""" de encendido por compresión """"motores diesel o semi-diesel"""" ..."""|"840890 - Motores de émbolo """"pistón"""" de encendido por compresión """"motores diesel o semi-diesel"""" ..."""
5244|840910|"Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ..."""|"840910 - Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ..."""
5245|840991|"Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ..."""|"840991 - Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ..."""
5246|840999|"Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ..."""|"840999 - Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ..."""
5247|841011|Turbinas hidráulicas y ruedas hidráulicas, de potencia <= 1.000 kW (exc. motores hidráulicos ...|841011 - Turbinas hidráulicas y ruedas hidráulicas, de potencia <= 1.000 kW (exc. motores hidráulicos ...
5248|841012|Turbinas hidráulicas y ruedas hidráulicas, de potencia > 1.000 kW pero <= 10.000 kW (exc. motores ...|841012 - Turbinas hidráulicas y ruedas hidráulicas, de potencia > 1.000 kW pero <= 10.000 kW (exc. motores ...
5249|841013|Turbinas hidráulicas y ruedas hidráulicas, de potencia > 10.000 kW (exc. motores hidráulicos ...|841013 - Turbinas hidráulicas y ruedas hidráulicas, de potencia > 10.000 kW (exc. motores hidráulicos ...
5250|841090|Partes de turbinas hidráulicas y de ruedas hidráulicas, n.c.o.p., así como reguladores para ...|841090 - Partes de turbinas hidráulicas y de ruedas hidráulicas, n.c.o.p., así como reguladores para ...
5251|841111|Turborreactores, de empuje <= 25 kN|841111 - Turborreactores, de empuje <= 25 kN
5252|841112|Turborreactores, de empuje > 25 kN|841112 - Turborreactores, de empuje > 25 kN
5253|841121|Turbopropulsores, de potencia <= 1.100 kW|841121 - Turbopropulsores, de potencia <= 1.100 kW
5254|841122|Turbopropulsores, de potencia > 1.100 kW|841122 - Turbopropulsores, de potencia > 1.100 kW
5255|841181|Turbinas de gas, de potencia <= 5.000 kW|841181 - Turbinas de gas, de potencia <= 5.000 kW
5256|841182|Turbinas de gas, de potencia > 5.000 kW (exc. turborreactores y turbopropulsores)|841182 - Turbinas de gas, de potencia > 5.000 kW (exc. turborreactores y turbopropulsores)
5257|841191|Partes de turborreactores o de turbopropulsores, n.c.o.p.|841191 - Partes de turborreactores o de turbopropulsores, n.c.o.p.
5258|841199|Partes de turborreactores o de turbopropulsores, n.c.o.p.|841199 - Partes de turborreactores o de turbopropulsores, n.c.o.p.
5259|841210|Propulsores a reacción, distintos de los turborreactores|841210 - Propulsores a reacción, distintos de los turborreactores
5260|841221|"Motores hidráulicos, con movimiento rectilíneo """"cilindros"""""""""|"841221 - Motores hidráulicos, con movimiento rectilíneo """"cilindros"""""""""
5261|841229|"Motores hidráulicos (exc. turbinas hidráulicas o ruedas hidráulicas de la partida 8410, turbinas ..."""|"841229 - Motores hidráulicos (exc. turbinas hidráulicas o ruedas hidráulicas de la partida 8410, turbinas ..."""
5262|841231|"Motores neumáticos, con movimiento rectilíneo """"cilindros"""""""""|"841231 - Motores neumáticos, con movimiento rectilíneo """"cilindros"""""""""
5263|841239|"Motores neumáticos (exc. motores neumáticos con movimiento rectilíneo """"cilindros"""")"""""|"841239 - Motores neumáticos (exc. motores neumáticos con movimiento rectilíneo """"cilindros"""")"""""
5264|841280|"Motores y máquinas motrices (exc. turbinas de vapor, motores de émbolo """"pistón"""", turbinas ..."""|"841280 - Motores y máquinas motrices (exc. turbinas de vapor, motores de émbolo """"pistón"""", turbinas ..."""
5265|841290|Partes de motores y de máquinas motrices, n.c.o.p.|841290 - Partes de motores y de máquinas motrices, n.c.o.p.
5266|841311|Bombas con dispositivo medidor incorporado o concebidas para llevarlo, para distribución de ...|841311 - Bombas con dispositivo medidor incorporado o concebidas para llevarlo, para distribución de ...
5267|841319|Bombas con dispositivo medidor incorporado o proyectadas para llevarlo (exc. las bombas para ...|841319 - Bombas con dispositivo medidor incorporado o proyectadas para llevarlo (exc. las bombas para ...
5268|841320|Bombas manuales (exc. las bombas de las subpartidas 8413.11 u 8413.19)|841320 - Bombas manuales (exc. las bombas de las subpartidas 8413.11 u 8413.19)
5269|841330|Bombas de carburante, aceite o refrigerante, para motores de encendido por chispa o compresión|841330 - Bombas de carburante, aceite o refrigerante, para motores de encendido por chispa o compresión
5270|841340|Bombas para hormigón|841340 - Bombas para hormigón
5271|841350|Bombas volumétricas alternativas, accionadas mecánicamente (exc. bombas de las subpartidas ...|841350 - Bombas volumétricas alternativas, accionadas mecánicamente (exc. bombas de las subpartidas ...
5272|841360|Bombas volumétricas rotativas, accionadas mecánicamente (exc. bombas de las subpartidas 8413.11 ...|841360 - Bombas volumétricas rotativas, accionadas mecánicamente (exc. bombas de las subpartidas 8413.11 ...
5273|841370|Bombas centrífugas, accionadas mecánicamente (exc. bombas de las subpartidas 8413.11 u 8413.19, ...|841370 - Bombas centrífugas, accionadas mecánicamente (exc. bombas de las subpartidas 8413.11 u 8413.19, ...
5274|841381|Bombas para líquidos, accionadas mecánicamente (exc. así como bombas de las subpartidas 8413.11 ...|841381 - Bombas para líquidos, accionadas mecánicamente (exc. así como bombas de las subpartidas 8413.11 ...
5275|841382|Elevadores de líquidos (exc. bombas)|841382 - Elevadores de líquidos (exc. bombas)
5276|841391|Partes de bombas para líquidos, n.c.o.p.|841391 - Partes de bombas para líquidos, n.c.o.p.
5277|841392|Partes de elevadores de líquidos, n.c.o.p.|841392 - Partes de elevadores de líquidos, n.c.o.p.
5278|841410|Bombas de vacío|841410 - Bombas de vacío
5279|841420|Bombas de aire, de mano o pedal|841420 - Bombas de aire, de mano o pedal
5280|841430|Compresores de los tipos utilizados en los equipos frigoríficos|841430 - Compresores de los tipos utilizados en los equipos frigoríficos
